reg;cod;nome;período;valor;coefc;Vlrxcoef;;;
1;11;RO;2007;27,17;0,096;2,608621272;;;
1;12;AC;2007;19,48;0,048;0,934361876;;;
1;13;AM;2007;21,10;0,226;4,765276119;;;
1;14;RR;2007;27,93;0,035;0,964209591;;;
1;15;PA;2007;30,27;0,464;14,05215409;;;
1;16;AP;2007;27,02;0,046;1,254199551;;;
1;17;TO;2007;16,63;0,085;1,413788566;;;
2;21;MA;2007;17,99;0,124;2,231524172;;;
2;22;PI;2007;12,49;0,057;0,71241147;;;
2;23;CE;2007;23,19;0,160;3,715919354;;;
2;24;RN;2007;19,10;0,062;1,179396436;;;
2;25;PB;2007;23,67;0,070;1,666404499;;;
2;26;PE;2007;53,04;0,168;8,898391251;;;
2;27;AL;2007;59,51;0,058;3,472854733;;;
2;28;SE;2007;25,67;0,041;1,040937644;;;
2;29;BA;2007;25,98;0,260;6,751036016;;;
3;31;MG;2007;20,92;0,239;4,997465988;;;
3;32;ES;2007;53,33;0,046;2,444489716;;;
3;33;RJ;2007;41,62;0,195;8,108902959;;;
3;35;SP;2007;15,45;0,520;8,04089785;;;
4;41;PR;2007;29,54;0,381;11,26843835;;;
4;42;SC;2007;10,45;0,241;2,522385442;;;
4;43;RS;2007;19,85;0,377;7,486619658;;;
5;50;MS;2007;30,46;0,170;5,176269064;;;
5;51;MT;2007;30,55;0,214;6,52282319;;;
5;52;GO;2007;26,04;0,431;11,23216637;;;
5;53;DF;2007;29,21;0,185;5,409912942;;;
1;11;RO;2008;32,14;0,096;3,085796381;;;
1;12;AC;2008;19,56;0,048;0,938199091;;;
1;13;AM;2008;24,84;0,226;5,609926957;;;
1;14;RR;2008;25,44;0,035;0,878248907;;;
1;15;PA;2008;39,06;0,464;18,13271024;;;
1;16;AP;2008;34,25;0,046;1,589797729;;;
1;17;TO;2008;18,51;0,085;1,573615535;;;
2;21;MA;2008;20,25;0,124;2,511860172;;;
2;22;PI;2008;11,57;0,057;0,659936006;;;
2;23;CE;2008;23,89;0,160;3,828085958;;;
2;24;RN;2008;22,98;0,062;1,418980633;;;
2;25;PB;2008;27,49;0,070;1,935338389;;;
2;26;PE;2008;50,90;0,168;8,539368678;;;
2;27;AL;2008;60,33;0,058;3,520707881;;;
2;28;SE;2008;27,76;0,041;1,125688703;;;
2;29;BA;2008;33,23;0,260;8,634985636;;;
3;31;MG;2008;19,59;0,239;4,67974946;;;
3;32;ES;2008;56,38;0,046;2,58429271;;;
3;33;RJ;2008;35,67;0,195;6,949653257;;;
3;35;SP;2008;15,44;0,520;8,035693385;;;
4;41;PR;2008;32,53;0,381;12,40901488;;;
4;42;SC;2008;13,25;0,241;3,198239915;;;
4;43;RS;2008;21,92;0,377;8,267340197;;;
5;50;MS;2008;29,92;0,170;5,084503296;;;
5;51;MT;2008;31,68;0,214;6,764092918;;;
